,W_VM_G,HP_ID_Reg,W_ID,W_GEW,W_HOCH,W_SZ,W_AZ,zweck,wegkm,wegmin_imp1,ST_JAHR,ST_MONAT,ST_WOCHE,ST_WOTAG,W_SZS,W_SZM,W_AZS,W_AZM,W_FOLGETAG,weg_intermod
0,703.0,1410,1.0,0.14662690937896625,39.299224437013784,14400.0,15600.0,8.0,70703.0,20.0,2017.0,3.0,10.0,1.0,4.0,0.0,4.0,20.0,0.0,703.0
1,703.0,1410,2.0,0.14662690937896625,39.299224437013784,27000.0,30600.0,1.0,70703.0,60.0,2017.0,3.0,10.0,1.0,7.0,30.0,8.0,30.0,0.0,703.0
2,703.0,1410,3.0,0.14662690937896625,39.299224437013784,43200.0,45000.0,8.0,70703.0,30.0,2017.0,3.0,10.0,1.0,12.0,0.0,12.0,30.0,0.0,703.0
3,1.0,1410,4.0,0.14662690937896625,39.299224437013784,50400.0,53400.0,2.0,9.5,50.0,2017.0,3.0,10.0,1.0,14.0,0.0,14.0,50.0,0.0,0.0
4,703.0,1410,5.0,0.14662690937896625,39.299224437013784,58500.0,59400.0,8.0,70703.0,15.0,2017.0,3.0,10.0,1.0,16.0,15.0,16.0,30.0,0.0,703.0
5,703.0,2060,1.0,0.16151850753190303,43.29049902990262,10800.0,11700.0,8.0,70703.0,15.0,2017.0,3.0,10.0,1.0,3.0,0.0,3.0,15.0,0.0,703.0
6,703.0,2060,2.0,0.16151850753190303,43.29049902990262,30600.0,31800.0,3.0,70703.0,20.0,2017.0,3.0,10.0,1.0,8.0,30.0,8.0,50.0,0.0,703.0
7,703.0,2060,3.0,0.16151850753190303,43.29049902990262,72000.0,73200.0,7.0,70703.0,20.0,2017.0,3.0,10.0,1.0,20.0,0.0,20.0,20.0,0.0,703.0
8,703.0,2060,4.0,0.16151850753190303,43.29049902990262,82200.0,84000.0,8.0,70703.0,30.0,2017.0,3.0,10.0,1.0,22.0,50.0,23.0,20.0,0.0,703.0
9,703.0,866,1.0,0.2908773579840863,77.96150531630883,37800.0,38400.0,4.0,70703.0,10.0,2017.0,3.0,9.0,5.0,10.0,30.0,10.0,40.0,0.0,703.0
10,703.0,866,2.0,0.2908773579840863,77.96150531630883,39000.0,39600.0,8.0,70703.0,10.0,2017.0,3.0,9.0,5.0,10.0,50.0,11.0,0.0,0.0,703.0
11,703.0,866,3.0,0.2908773579840863,77.96150531630883,56100.0,56400.0,4.0,70703.0,5.0,2017.0,3.0,9.0,5.0,15.0,35.0,15.0,40.0,0.0,703.0
12,703.0,866,4.0,0.2908773579840863,77.96150531630883,57300.0,57600.0,8.0,70703.0,5.0,2017.0,3.0,9.0,5.0,15.0,55.0,16.0,0.0,0.0,703.0
13,703.0,866,5.0,0.2908773579840863,77.96150531630883,61200.0,62100.0,5.0,70703.0,15.0,2017.0,3.0,9.0,5.0,17.0,0.0,17.0,15.0,0.0,703.0
14,703.0,866,6.0,0.2908773579840863,77.96150531630883,63000.0,63600.0,8.0,70703.0,10.0,2017.0,3.0,9.0,5.0,17.0,30.0,17.0,40.0,0.0,703.0
15,703.0,866,7.0,0.2908773579840863,77.96150531630883,71400.0,72000.0,7.0,70703.0,10.0,2017.0,3.0,9.0,5.0,19.0,50.0,20.0,0.0,0.0,703.0
16,703.0,866,8.0,0.2908773579840863,77.96150531630883,77400.0,78000.0,8.0,70703.0,10.0,2017.0,3.0,9.0,5.0,21.0,30.0,21.0,40.0,0.0,703.0
17,703.0,1659,1.0,0.07310899820101742,19.594813399778122,27600.0,29400.0,2.0,70703.0,30.0,2017.0,3.0,13.0,4.0,7.0,40.0,8.0,10.0,0.0,703.0
18,703.0,1659,2.0,0.07310899820101742,19.594813399778122,61200.0,73800.0,8.0,70703.0,210.0,2017.0,3.0,13.0,4.0,17.0,0.0,20.0,30.0,0.0,703.0
19,1.0,636,1.0,0.1900055390845115,50.92564766170519,22200.0,23400.0,1.0,13.3,20.0,2016.0,7.0,29.0,2.0,6.0,10.0,6.0,30.0,0.0,0.0
20,1.0,636,2.0,0.1900055390845115,50.92564766170519,64800.0,66000.0,8.0,13.3,20.0,2016.0,7.0,29.0,2.0,18.0,0.0,18.0,20.0,0.0,0.0
21,0.0,1900,1.0,0.6717531914537048,180.04457400782158,36900.0,38400.0,5.0,2.7,25.0,2017.0,7.0,26.0,6.0,10.0,15.0,10.0,40.0,0.0,1.0
22,0.0,1900,2.0,0.6717531914537048,180.04457400782158,39000.0,40200.0,4.0,1.67,20.0,2017.0,7.0,26.0,6.0,10.0,50.0,11.0,10.0,0.0,0.0
23,0.0,1900,3.0,0.6717531914537048,180.04457400782158,42000.0,42600.0,8.0,0.78,10.0,2017.0,7.0,26.0,6.0,11.0,40.0,11.0,50.0,0.0,0.0
24,0.0,1900,4.0,0.6717531914537048,180.04457400782158,46800.0,47700.0,7.0,3.43,15.0,2017.0,7.0,26.0,6.0,13.0,0.0,13.0,15.0,0.0,0.0
25,0.0,1900,5.0,0.6717531914537048,180.04457400782158,55800.0,56700.0,8.0,3.43,15.0,2017.0,7.0,26.0,6.0,15.0,30.0,15.0,45.0,0.0,0.0
26,0.0,1900,6.0,0.6717531914537048,180.04457400782158,68400.0,72000.0,7.0,38.25,60.0,2017.0,7.0,26.0,6.0,19.0,0.0,20.0,0.0,0.0,1.0
27,0.0,1900,7.0,0.6717531914537048,180.04457400782158,81000.0,84600.0,8.0,38.25,60.0,2017.0,7.0,26.0,6.0,22.0,30.0,23.0,30.0,0.0,1.0
28,0.0,749,1.0,0.3954936232507659,106.0009566413818,27000.0,31800.0,1.0,18.0,80.0,2017.0,2.0,7.0,1.0,7.0,30.0,8.0,50.0,0.0,1.0
29,0.0,749,2.0,0.3954936232507659,106.0009566413818,45600.0,45660.0,2.0,2.7,1.0,2017.0,2.0,7.0,1.0,12.0,40.0,12.0,41.0,0.0,0.0
30,0.0,749,3.0,0.3954936232507659,106.0009566413818,63360.0,68400.0,8.0,18.0,84.0,2017.0,2.0,7.0,1.0,17.0,36.0,19.0,0.0,0.0,1.0
31,0.0,87,1.0,0.3598559221901394,96.44927190402572,39600.0,39900.0,5.0,0.15,5.0,2017.0,5.0,19.0,3.0,11.0,0.0,11.0,5.0,0.0,0.0
32,1.0,87,2.0,0.3598559221901394,96.44927190402572,39900.0,40500.0,5.0,2.38,10.0,2017.0,5.0,19.0,3.0,11.0,5.0,11.0,15.0,0.0,0.0
33,1.0,87,3.0,0.3598559221901394,96.44927190402572,40500.0,41100.0,8.0,2.38,10.0,2017.0,5.0,19.0,3.0,11.0,15.0,11.0,25.0,0.0,0.0
34,1.0,1264,1.0,0.4460519253650949,119.5516893845108,27000.0,27600.0,6.0,1.9,10.0,2016.0,9.0,36.0,2.0,7.0,30.0,7.0,40.0,0.0,0.0
35,1.0,1264,2.0,0.4460519253650949,119.5516893845108,28200.0,30300.0,1.0,20.7,35.0,2016.0,9.0,36.0,2.0,7.0,50.0,8.0,25.0,0.0,1.0
36,1.0,1264,3.0,0.4460519253650949,119.5516893845108,53700.0,56700.0,9.0,20.7,50.0,2016.0,9.0,36.0,2.0,14.0,55.0,15.0,45.0,0.0,1.0
37,1.0,1264,4.0,0.4460519253650949,119.5516893845108,57000.0,57300.0,6.0,1.9,5.0,2016.0,9.0,36.0,2.0,15.0,50.0,15.0,55.0,0.0,0.0
38,0.0,1264,5.0,0.4460519253650949,119.5516893845108,58800.0,60000.0,7.0,0.49,20.0,2016.0,9.0,36.0,2.0,16.0,20.0,16.0,40.0,0.0,0.0
39,0.0,1264,6.0,0.4460519253650949,119.5516893845108,60900.0,61200.0,7.0,0.1,5.0,2016.0,9.0,36.0,2.0,16.0,55.0,17.0,0.0,0.0,0.0
40,1.0,1264,7.0,0.4460519253650949,119.5516893845108,64500.0,65100.0,4.0,1.9,10.0,2016.0,9.0,36.0,2.0,17.0,55.0,18.0,5.0,0.0,1.0
41,1.0,1264,8.0,0.4460519253650949,119.5516893845108,66300.0,66900.0,8.0,1.62,10.0,2016.0,9.0,36.0,2.0,18.0,25.0,18.0,35.0,0.0,0.0
42,1.0,1698,1.0,4.6475059309913656,1245.6334204135023,28800.0,30600.0,2.0,21.85,30.0,2016.0,9.0,36.0,2.0,8.0,0.0,8.0,30.0,0.0,0.0
43,0.0,1698,2.0,4.6475059309913656,1245.6334204135023,32400.0,52200.0,2.0,22.5,330.0,2016.0,9.0,36.0,2.0,9.0,0.0,14.0,30.0,0.0,0.0
44,1.0,1698,3.0,4.6475059309913656,1245.6334204135023,53100.0,56700.0,8.0,21.85,60.0,2016.0,9.0,36.0,2.0,14.0,45.0,15.0,45.0,0.0,0.0
45,1.0,1698,4.0,4.6475059309913656,1245.6334204135023,65400.0,66300.0,4.0,9.5,15.0,2016.0,9.0,36.0,2.0,18.0,10.0,18.0,25.0,0.0,0.0
46,1.0,1698,5.0,4.6475059309913656,1245.6334204135023,68400.0,69300.0,8.0,9.5,15.0,2016.0,9.0,36.0,2.0,19.0,0.0,19.0,15.0,0.0,0.0
47,0.0,1422,1.0,0.8474524361282901,227.13582130428017,46800.0,51300.0,7.0,6.86,75.0,2016.0,12.0,49.0,1.0,13.0,0.0,14.0,15.0,0.0,0.0
48,1.0,1794,1.0,0.3205641329002091,85.91821145695656,36900.0,37800.0,7.0,5.7,15.0,2016.0,7.0,27.0,4.0,10.0,15.0,10.0,30.0,0.0,0.0
49,1.0,1794,2.0,0.3205641329002091,85.91821145695656,55800.0,56700.0,8.0,5.7,15.0,2016.0,7.0,27.0,4.0,15.0,30.0,15.0,45.0,0.0,0.0
50,1.0,1794,3.0,0.3205641329002091,85.91821145695656,66600.0,69300.0,7.0,13.5,45.0,2016.0,7.0,27.0,4.0,18.0,30.0,19.0,15.0,0.0,1.0
51,0.0,1794,4.0,0.3205641329002091,85.91821145695656,81000.0,84600.0,8.0,13.5,60.0,2016.0,7.0,27.0,4.0,22.0,30.0,23.0,30.0,0.0,1.0
52,0.0,1902,1.0,0.22258988558871481,59.65896647627884,28800.0,29700.0,3.0,2.7,15.0,2017.0,3.0,10.0,1.0,8.0,0.0,8.0,15.0,0.0,1.0
53,1.0,1902,2.0,0.22258988558871481,59.65896647627884,54600.0,54900.0,8.0,2.85,5.0,2017.0,3.0,10.0,1.0,15.0,10.0,15.0,15.0,0.0,0.0
54,1.0,1902,3.0,0.22258988558871481,59.65896647627884,58800.0,59100.0,7.0,2.85,5.0,2017.0,3.0,10.0,1.0,16.0,20.0,16.0,25.0,0.0,0.0
55,1.0,1902,4.0,0.22258988558871481,59.65896647627884,64200.0,65100.0,7.0,5.7,15.0,2017.0,3.0,10.0,1.0,17.0,50.0,18.0,5.0,0.0,0.0
56,1.0,1902,5.0,0.22258988558871481,59.65896647627884,65100.0,65700.0,8.0,2.85,10.0,2017.0,3.0,10.0,1.0,18.0,5.0,18.0,15.0,0.0,0.0
57,1.0,331,1.0,0.1666896846005167,44.67648778929019,23400.0,25200.0,1.0,12.35,30.0,2016.0,12.0,51.0,3.0,6.0,30.0,7.0,0.0,0.0,0.0
58,1.0,331,2.0,0.1666896846005167,44.67648778929019,59400.0,61200.0,8.0,12.35,30.0,2016.0,12.0,51.0,3.0,16.0,30.0,17.0,0.0,0.0,0.0
59,1.0,331,3.0,0.1666896846005167,44.67648778929019,63000.0,64200.0,5.0,2.38,20.0,2016.0,12.0,51.0,3.0,17.0,30.0,17.0,50.0,0.0,0.0
60,1.0,1102,1.0,0.19730897852163884,52.88312945558236,26400.0,29700.0,1.0,32.3,55.0,2017.0,3.0,10.0,3.0,7.0,20.0,8.0,15.0,0.0,0.0
61,1.0,1102,2.0,0.19730897852163884,52.88312945558236,53400.0,56700.0,8.0,32.3,55.0,2017.0,3.0,10.0,3.0,14.0,50.0,15.0,45.0,0.0,0.0
62,1.0,1737,1.0,0.5637319402759996,151.09251185238307,24000.0,26700.0,1.0,52.25,45.0,2017.0,5.0,22.0,2.0,6.0,40.0,7.0,25.0,0.0,0.0
63,1.0,1737,2.0,0.5637319402759996,151.09251185238307,57600.0,62100.0,8.0,52.25,75.0,2017.0,5.0,22.0,2.0,16.0,0.0,17.0,15.0,0.0,0.0
64,0.0,793,1.0,1.261689665860613,338.1604751714827,25800.0,26100.0,7.0,0.2,5.0,2016.0,12.0,50.0,2.0,7.0,10.0,7.0,15.0,0.0,0.0
65,0.0,793,2.0,1.261689665860613,338.1604751714827,27600.0,28200.0,3.0,0.49,10.0,2016.0,12.0,50.0,2.0,7.0,40.0,7.0,50.0,0.0,0.0
66,0.0,793,3.0,1.261689665860613,338.1604751714827,45000.0,45900.0,7.0,0.49,15.0,2016.0,12.0,50.0,2.0,12.0,30.0,12.0,45.0,0.0,0.0
67,0.0,793,4.0,1.261689665860613,338.1604751714827,49500.0,50400.0,3.0,0.49,15.0,2016.0,12.0,50.0,2.0,13.0,45.0,14.0,0.0,0.0,0.0
68,0.0,793,5.0,1.261689665860613,338.1604751714827,57600.0,58200.0,10.0,0.49,10.0,2016.0,12.0,50.0,2.0,16.0,0.0,16.0,10.0,0.0,0.0
69,0.0,793,6.0,1.261689665860613,338.1604751714827,64800.0,65100.0,7.0,0.05,5.0,2016.0,12.0,50.0,2.0,18.0,0.0,18.0,5.0,0.0,0.0
70,0.0,793,7.0,1.261689665860613,338.1604751714827,72000.0,72300.0,10.0,0.05,5.0,2016.0,12.0,50.0,2.0,20.0,0.0,20.0,5.0,0.0,0.0
71,1.0,1361,1.0,0.09203991977656259,24.668715175024705,21600.0,26400.0,1.0,76.0,80.0,2017.0,3.0,11.0,6.0,6.0,0.0,7.0,20.0,0.0,0.0
72,1.0,1361,2.0,0.09203991977656259,24.668715175024705,54000.0,58800.0,8.0,76.0,80.0,2017.0,3.0,11.0,6.0,15.0,0.0,16.0,20.0,0.0,0.0
73,703.0,766,1.0,0.15150299030171802,40.606120963496465,27000.0,28500.0,1.0,70703.0,25.0,2016.0,11.0,47.0,5.0,7.0,30.0,7.0,55.0,0.0,703.0
74,703.0,766,2.0,0.15150299030171802,40.606120963496465,59700.0,61200.0,4.0,70703.0,25.0,2016.0,11.0,47.0,5.0,16.0,35.0,17.0,0.0,0.0,703.0
75,703.0,766,3.0,0.15150299030171802,40.606120963496465,62400.0,63600.0,8.0,70703.0,20.0,2016.0,11.0,47.0,5.0,17.0,20.0,17.0,40.0,0.0,703.0
76,1.0,1398,1.0,0.2740311495352174,73.44635233689407,50400.0,51300.0,4.0,15.2,15.0,2017.0,3.0,11.0,6.0,14.0,0.0,14.0,15.0,0.0,0.0
77,1.0,1398,2.0,0.2740311495352174,73.44635233689407,54900.0,55800.0,8.0,15.2,15.0,2017.0,3.0,11.0,6.0,15.0,15.0,15.0,30.0,0.0,0.0
78,0.0,692,1.0,1.6663104827463362,446.60771969180496,27000.0,27600.0,1.0,0.49,10.0,2017.0,7.0,30.0,5.0,7.0,30.0,7.0,40.0,0.0,0.0
79,1.0,692,2.0,1.6663104827463362,446.60771969180496,27600.0,27900.0,1.0,2.38,5.0,2017.0,7.0,30.0,5.0,7.0,40.0,7.0,45.0,0.0,0.0
80,1.0,692,3.0,1.6663104827463362,446.60771969180496,36000.0,36300.0,8.0,2.38,5.0,2017.0,7.0,30.0,5.0,10.0,0.0,10.0,5.0,0.0,0.0
81,1.0,692,4.0,1.6663104827463362,446.60771969180496,37200.0,37500.0,1.0,2.38,5.0,2017.0,7.0,30.0,5.0,10.0,20.0,10.0,25.0,0.0,0.0
82,1.0,692,5.0,1.6663104827463362,446.60771969180496,45000.0,45600.0,8.0,2.38,10.0,2017.0,7.0,30.0,5.0,12.0,30.0,12.0,40.0,0.0,0.0
83,1.0,692,6.0,1.6663104827463362,446.60771969180496,46800.0,47400.0,2.0,2.85,10.0,2017.0,7.0,30.0,5.0,13.0,0.0,13.0,10.0,0.0,0.0
84,1.0,692,7.0,1.6663104827463362,446.60771969180496,48600.0,48900.0,8.0,2.85,5.0,2017.0,7.0,30.0,5.0,13.0,30.0,13.0,35.0,0.0,0.0
85,1.0,692,8.0,1.6663104827463362,446.60771969180496,49200.0,50700.0,2.0,22.8,25.0,2017.0,7.0,30.0,5.0,13.0,40.0,14.0,5.0,0.0,0.0
86,0.0,1983,1.0,0.1402374051906306,37.58669731493108,39900.0,43200.0,7.0,5.88,55.0,2016.0,8.0,33.0,4.0,11.0,5.0,12.0,0.0,0.0,0.0
87,0.0,1983,2.0,0.1402374051906306,37.58669731493108,43200.0,43500.0,8.0,0.1,5.0,2016.0,8.0,33.0,4.0,12.0,0.0,12.0,5.0,0.0,0.0
88,0.0,1983,3.0,0.1402374051906306,37.58669731493108,52500.0,53400.0,4.0,0.98,15.0,2016.0,8.0,33.0,4.0,14.0,35.0,14.0,50.0,0.0,0.0
89,0.0,1983,4.0,0.1402374051906306,37.58669731493108,55800.0,56400.0,8.0,0.98,10.0,2016.0,8.0,33.0,4.0,15.0,30.0,15.0,40.0,0.0,0.0
90,0.0,1601,1.0,0.14323739792019902,38.390761098912265,30600.0,32400.0,7.0,2.94,30.0,2017.0,4.0,15.0,1.0,8.0,30.0,9.0,0.0,0.0,0.0
91,0.0,1601,2.0,0.14323739792019902,38.390761098912265,39600.0,42300.0,7.0,4.41,45.0,2017.0,4.0,15.0,1.0,11.0,0.0,11.0,45.0,0.0,0.0
92,0.0,1601,3.0,0.14323739792019902,38.390761098912265,54000.0,60300.0,7.0,4.41,105.0,2017.0,4.0,15.0,1.0,15.0,0.0,16.0,45.0,0.0,0.0
93,1.0,1601,4.0,0.14323739792019902,38.390761098912265,62100.0,62400.0,7.0,0.57,5.0,2017.0,4.0,15.0,1.0,17.0,15.0,17.0,20.0,0.0,1.0
94,0.0,1353,1.0,0.5028495378032617,134.77469400315852,35100.0,36300.0,7.0,5.88,20.0,2017.0,6.0,24.0,7.0,9.0,45.0,10.0,5.0,0.0,0.0
95,0.0,1353,2.0,0.5028495378032617,134.77469400315852,41400.0,42900.0,8.0,5.88,25.0,2017.0,6.0,24.0,7.0,11.0,30.0,11.0,55.0,0.0,0.0
96,1.0,1353,3.0,0.5028495378032617,134.77469400315852,45900.0,47100.0,6.0,11.4,20.0,2017.0,6.0,24.0,7.0,12.0,45.0,13.0,5.0,0.0,0.0
97,1.0,1353,4.0,0.5028495378032617,134.77469400315852,55800.0,57000.0,7.0,12.35,20.0,2017.0,6.0,24.0,7.0,15.0,30.0,15.0,50.0,0.0,0.0
98,1.0,1353,5.0,0.5028495378032617,134.77469400315852,60600.0,61800.0,9.0,12.35,20.0,2017.0,6.0,24.0,7.0,16.0,50.0,17.0,10.0,0.0,0.0
99,1.0,1353,6.0,0.5028495378032617,134.77469400315852,62100.0,62700.0,6.0,5.7,10.0,2017.0,6.0,24.0,7.0,17.0,15.0,17.0,25.0,0.0,0.0
100,1.0,1353,7.0,0.5028495378032617,134.77469400315852,62700.0,63300.0,8.0,5.7,10.0,2017.0,6.0,24.0,7.0,17.0,25.0,17.0,35.0,0.0,0.0
101,1.0,1276,1.0,0.18837989962196297,50.48994066656392,31800.0,32100.0,4.0,0.48,5.0,2017.0,1.0,1.0,4.0,8.0,50.0,8.0,55.0,0.0,0.0
102,1.0,1276,2.0,0.18837989962196297,50.48994066656392,34200.0,34500.0,8.0,0.48,5.0,2017.0,1.0,1.0,4.0,9.0,30.0,9.0,35.0,0.0,0.0
103,1.0,1276,3.0,0.18837989962196297,50.48994066656392,51600.0,52500.0,7.0,11.4,15.0,2017.0,1.0,1.0,4.0,14.0,20.0,14.0,35.0,0.0,0.0
104,1.0,1276,4.0,0.18837989962196297,50.48994066656392,64200.0,65400.0,8.0,11.4,20.0,2017.0,1.0,1.0,4.0,17.0,50.0,18.0,10.0,0.0,0.0
105,1.0,1044,1.0,0.6428645618861446,172.3017883086492,26100.0,27300.0,1.0,5.7,20.0,2017.0,5.0,21.0,3.0,7.0,15.0,7.0,35.0,0.0,1.0
106,1.0,1044,2.0,0.6428645618861446,172.3017883086492,40200.0,42600.0,2.0,14.25,40.0,2017.0,5.0,21.0,3.0,11.0,10.0,11.0,50.0,0.0,1.0
107,1.0,1044,3.0,0.6428645618861446,172.3017883086492,45000.0,46200.0,7.0,14.25,20.0,2017.0,5.0,21.0,3.0,12.0,30.0,12.0,50.0,0.0,1.0
108,0.0,1044,4.0,0.6428645618861446,172.3017883086492,49500.0,50100.0,1.0,0.29,10.0,2017.0,5.0,21.0,3.0,13.0,45.0,13.0,55.0,0.0,0.0
109,0.0,1044,5.0,0.6428645618861446,172.3017883086492,63360.0,64800.0,4.0,0.39,24.0,2017.0,5.0,21.0,3.0,17.0,36.0,18.0,0.0,0.0,0.0
110,0.0,1044,6.0,0.6428645618861446,172.3017883086492,64800.0,65100.0,8.0,0.1,5.0,2017.0,5.0,21.0,3.0,18.0,0.0,18.0,5.0,0.0,0.0
111,1.0,2004,1.0,0.5610162950003428,150.36465941635086,28800.0,36900.0,6.0,113.05,135.0,2017.0,6.0,23.0,3.0,8.0,0.0,10.0,15.0,0.0,1.0
112,1.0,2004,2.0,0.5610162950003428,150.36465941635086,37800.0,45600.0,8.0,113.05,130.0,2017.0,6.0,23.0,3.0,10.0,30.0,12.0,40.0,0.0,1.0
113,1.0,2004,3.0,0.5610162950003428,150.36465941635086,55800.0,56400.0,4.0,1.9,10.0,2017.0,6.0,23.0,3.0,15.0,30.0,15.0,40.0,0.0,1.0
114,1.0,2004,4.0,0.5610162950003428,150.36465941635086,58800.0,59400.0,8.0,1.9,10.0,2017.0,6.0,23.0,3.0,16.0,20.0,16.0,30.0,0.0,1.0
115,1.0,2004,5.0,0.5610162950003428,150.36465941635086,66600.0,68400.0,7.0,20.9,30.0,2017.0,6.0,23.0,3.0,18.0,30.0,19.0,0.0,0.0,1.0
116,1.0,2004,6.0,0.5610162950003428,150.36465941635086,77400.0,79200.0,8.0,20.9,30.0,2017.0,6.0,23.0,3.0,21.0,30.0,22.0,0.0,0.0,1.0
117,703.0,292,1.0,0.359997599382443,96.48724449583393,57900.0,58200.0,8.0,0.95,5.0,2017.0,2.0,8.0,3.0,16.0,5.0,16.0,10.0,0.0,703.0
118,0.0,535,1.0,0.3044699304265139,81.60461255599506,34200.0,35400.0,7.0,3.6,20.0,2017.0,6.0,25.0,3.0,9.0,30.0,9.0,50.0,0.0,1.0
119,0.0,535,2.0,0.3044699304265139,81.60461255599506,40500.0,41700.0,8.0,3.6,20.0,2017.0,6.0,25.0,3.0,11.0,15.0,11.0,35.0,0.0,1.0
120,0.0,535,3.0,0.3044699304265139,81.60461255599506,54900.0,56400.0,10.0,5.4,25.0,2017.0,6.0,25.0,3.0,15.0,15.0,15.0,40.0,0.0,1.0
121,0.0,535,4.0,0.3044699304265139,81.60461255599506,68700.0,70200.0,8.0,9999.0,25.0,2017.0,6.0,25.0,3.0,19.0,5.0,19.0,30.0,0.0,1.0
122,1.0,56,1.0,0.23315857879004312,62.49160782351932,48600.0,50400.0,7.0,9.5,30.0,2017.0,4.0,16.0,7.0,13.0,30.0,14.0,0.0,0.0,1.0
123,0.0,56,2.0,0.23315857879004312,62.49160782351932,50700.0,53100.0,7.0,1.86,40.0,2017.0,4.0,16.0,7.0,14.0,5.0,14.0,45.0,0.0,0.0
124,1.0,56,3.0,0.23315857879004312,62.49160782351932,57600.0,59400.0,8.0,9.5,30.0,2017.0,4.0,16.0,7.0,16.0,0.0,16.0,30.0,0.0,0.0
125,1.0,1118,1.0,0.2427768981232183,65.06952815057453,59400.0,60300.0,4.0,9.5,15.0,2017.0,4.0,13.0,6.0,16.0,30.0,16.0,45.0,0.0,0.0
126,1.0,1118,2.0,0.2427768981232183,65.06952815057453,61200.0,62100.0,8.0,9.5,15.0,2017.0,4.0,13.0,6.0,17.0,0.0,17.0,15.0,0.0,0.0
127,0.0,1901,1.0,0.09580404514685675,25.677583249532915,29400.0,31500.0,10.0,9.0,35.0,2016.0,6.0,25.0,5.0,8.0,10.0,8.0,45.0,0.0,1.0
128,0.0,1901,2.0,0.09580404514685675,25.677583249532915,37200.0,42000.0,7.0,63.0,80.0,2016.0,6.0,25.0,5.0,10.0,20.0,11.0,40.0,0.0,1.0
129,0.0,1901,3.0,0.09580404514685675,25.677583249532915,43800.0,51600.0,7.0,2.94,130.0,2016.0,6.0,25.0,5.0,12.0,10.0,14.0,20.0,0.0,0.0
130,0.0,1901,4.0,0.09580404514685675,25.677583249532915,63300.0,71400.0,7.0,63.0,135.0,2016.0,6.0,25.0,5.0,17.0,35.0,19.0,50.0,0.0,1.0
131,0.0,1650,1.0,1.7729084679192413,475.1783153729577,25800.0,26700.0,3.0,1.96,15.0,2017.0,3.0,10.0,4.0,7.0,10.0,7.0,25.0,0.0,0.0
132,0.0,1650,2.0,1.7729084679192413,475.1783153729577,46200.0,48000.0,10.0,2.94,30.0,2017.0,3.0,10.0,4.0,12.0,50.0,13.0,20.0,0.0,0.0
133,0.0,1650,3.0,1.7729084679192413,475.1783153729577,49200.0,49500.0,10.0,0.98,5.0,2017.0,3.0,10.0,4.0,13.0,40.0,13.0,45.0,0.0,0.0
134,0.0,1650,4.0,1.7729084679192413,475.1783153729577,49620.0,50100.0,3.0,1.96,8.0,2017.0,3.0,10.0,4.0,13.0,47.0,13.0,55.0,0.0,0.0
135,0.0,1650,5.0,1.7729084679192413,475.1783153729577,56100.0,57000.0,8.0,1.96,15.0,2017.0,3.0,10.0,4.0,15.0,35.0,15.0,50.0,0.0,0.0
136,0.0,1141,1.0,5.2475003259135224,1406.4450646530595,28800.0,30600.0,3.0,13.5,30.0,2016.0,11.0,45.0,1.0,8.0,0.0,8.0,30.0,0.0,1.0
137,0.0,1141,2.0,5.2475003259135224,1406.4450646530595,48600.0,49200.0,5.0,0.98,10.0,2016.0,11.0,45.0,1.0,13.0,30.0,13.0,40.0,0.0,0.0
138,0.0,1141,3.0,5.2475003259135224,1406.4450646530595,51000.0,51600.0,9.0,0.98,10.0,2016.0,11.0,45.0,1.0,14.0,10.0,14.0,20.0,0.0,0.0
139,0.0,1141,4.0,5.2475003259135224,1406.4450646530595,60000.0,61800.0,8.0,13.5,30.0,2016.0,11.0,45.0,1.0,16.0,40.0,17.0,10.0,0.0,1.0
140,1.0,120,1.0,0.34032713249175445,91.21512837204614,33600.0,34200.0,5.0,0.76,10.0,2017.0,4.0,15.0,1.0,9.0,20.0,9.0,30.0,0.0,0.0
141,1.0,120,2.0,0.34032713249175445,91.21512837204614,39300.0,40200.0,4.0,5.7,15.0,2017.0,4.0,15.0,1.0,10.0,55.0,11.0,10.0,0.0,0.0
142,1.0,120,3.0,0.34032713249175445,91.21512837204614,51000.0,51600.0,8.0,4.85,10.0,2017.0,4.0,15.0,1.0,14.0,10.0,14.0,20.0,0.0,0.0
143,1.0,1071,1.0,0.06480323131471581,17.368685887653747,41400.0,45900.0,99.0,6.65,75.0,2016.0,9.0,36.0,5.0,11.0,30.0,12.0,45.0,0.0,0.0
144,0.0,1071,2.0,0.06480323131471581,17.368685887653747,45000.0,46200.0,5.0,0.98,20.0,2016.0,9.0,36.0,5.0,12.0,30.0,12.0,50.0,0.0,0.0
145,0.0,1071,3.0,0.06480323131471581,17.368685887653747,47100.0,47700.0,10.0,0.98,10.0,2016.0,9.0,36.0,5.0,13.0,5.0,13.0,15.0,0.0,0.0
146,1.0,1071,4.0,0.06480323131471581,17.368685887653747,59400.0,60300.0,7.0,6.65,15.0,2016.0,9.0,36.0,5.0,16.0,30.0,16.0,45.0,0.0,0.0
147,1.0,1071,5.0,0.06480323131471581,17.368685887653747,67500.0,68100.0,4.0,2.85,10.0,2016.0,9.0,36.0,5.0,18.0,45.0,18.0,55.0,0.0,0.0
148,1.0,1071,6.0,0.06480323131471581,17.368685887653747,68700.0,69300.0,10.0,4.75,10.0,2016.0,9.0,36.0,5.0,19.0,5.0,19.0,15.0,0.0,0.0
